file,ambi_count,brit_count,flad_count,flas_count,litd_count,lits_count,rawd_count
1ROOM.BS6,5,31,1,1,31,1,0
BACKUP.BS6,24,13,20,1,13,1,22
BARCKIN.BS6,14,9,10,1,9,1,25
BARNIN.BS6,14,4,10,1,4,1,14
BELLIN.BS6,7,3,3,1,3,1,10
BLKSMIN.BS6,8,4,4,1,4,1,15
CATCOM.BS6,39,42,35,1,42,1,29
DMKK.BS6,62,40,58,1,40,1,139
DMNN.BS6,87,29,83,1,29,1,39
DMSC.BS6,24,13,20,1,13,1,22
FIXIT.BS6,184,133,180,1,133,1,682
INDAGON.BS6,30,24,26,1,24,1,95
INHOUS2.BS6,14,5,10,1,5,1,15
INHOUS3.BS6,14,5,10,1,5,1,5
ININN.BS6,21,16,17,1,16,1,27
INKEEP.BS6,11,42,7,1,42,1,28
INLUST.BS6,8,14,4,1,14,1,20
INMANS.BS6,14,6,10,1,6,1,18
INMNTN.BS6,14,5,10,1,5,1,26
INSHIP.BS6,12,4,8,1,4,1,11
INSHOP.BS6,9,4,5,1,4,1,21
INSPIRE.BS6,19,16,15,1,16,1,45
INTEMP3.BS6,9,6,5,1,6,1,26
INTEMP5.BS6,7,15,3,1,15,1,16
INTOMB.BS6,7,6,3,1,6,1,21
JULIAN.BS6,4,4,0,1,4,1,0
L1.BS6,163,103,159,1,103,1,517
L10.BS6,38,10,34,1,10,1,14
L11.BS6,54,11,50,1,11,1,15
L12.BS6,58,129,54,1,129,1,190
L2.BS6,175,129,171,1,129,1,331
L3.BS6,169,106,165,1,106,1,394
L4.BS6,136,87,132,1,87,1,441
L4NEW.BS6,11,0,7,1,0,1,118
L4_OLD.BS6,208,152,204,1,152,1,500
L5.BS6,184,0,180,1,0,1,297
L6.BS6,188,133,184,1,133,1,708
L7.BS6,121,103,117,1,103,1,306
L8.BS6,116,0,112,1,0,1,365
L8OLD.BS6,59,0,55,1,0,1,96
L9.BS6,54,4,50,1,4,1,21
MTEMPLE.BS6,16,16,12,1,16,1,46
TAVERN.BS6,16,9,12,1,9,1,19
TAVRN2.BS6,16,9,12,1,9,1,16
YAGA.BS6,9,5,5,1,5,1,19
